Time(Iteration),CZooming
0,2.26719646338
1,4.45333975597
2,6.74959877555
3,9.48630265476
4,12.1023167834
5,14.6880911242
6,17.4881940011
7,19.8019289452
8,22.4943854479
9,25.1266623239
10,27.6288980101
11,30.121190585
12,32.6153480882
13,34.5005036049
14,36.6081835598
15,38.7243897994
16,41.0213629734
17,42.9428376883
18,45.0480767842
19,47.0352022257
20,48.9354682321
21,50.839551081
22,52.7639431371
23,54.7218840177
24,56.6604957127
25,58.7069163142
26,60.5280081908
27,62.3377977157
28,64.5511145067
29,66.6687892984
30,69.0335615134
31,71.3558190596
32,73.6716029531
33,75.9814868658
34,78.2542640476
35,80.4466449426
36,82.6194909569
37,84.9071339017
38,87.0388860478
39,89.1464554396
40,91.2399030977
41,93.7273799062
42,95.9367325436
43,98.4004876629
44,100.80187264
45,103.053438846
46,105.367823152
47,107.627175758
48,109.747762366
49,111.840832226
50,114.153617597
51,116.504589469
52,118.739030906
53,120.949446271
54,123.117681165
55,125.362795515
56,127.289822627
57,129.290183105
58,131.352307399
59,133.33778811
60,135.219326306
61,137.319633706
62,139.503283479
63,141.333596186
64,143.628737563
65,145.7241887
66,147.985736225
67,149.895237065
68,151.735884353
69,153.793697736
70,155.807662888
71,157.802131359
72,159.621836929
73,161.476555749
74,163.6581681
75,165.789987002
76,167.635685379
77,169.534834763
78,171.447642362
79,173.183918011
80,174.943887575
81,176.955927082
82,179.185314945
83,181.366216952
84,183.244764899
85,185.192679372
86,187.373053941
87,189.465501875
88,191.491950305
89,193.342478359
90,195.204303653
91,197.208605245
92,199.071654761
93,201.138245509
94,203.386253582
95,205.559335862
96,207.472919216
97,209.767296417
98,212.013220425
99,214.351961134
100,216.629449615
101,219.03528076
102,221.580520499
103,223.737750312
104,226.080244037
105,228.271416535
106,230.379439235
107,232.731354444
108,235.154715624
109,237.232135586
110,239.54668992
111,241.918056232
112,244.152406984
113,246.499289616
114,248.777563567
115,251.038298686
116,253.160509463
117,255.566247844
118,257.771902248
119,260.241077975
120,262.523381194
121,264.763833699
122,267.027498311
123,269.215769074
124,271.338743904
125,273.21510437
126,275.34821043
127,277.49224191
128,279.73740488
129,282.034096286
130,284.128117747
131,286.523425108
132,288.744009305
133,290.984685305
134,293.45509144
135,295.601795705
136,297.900705768
137,300.02663083
138,302.162158956
139,304.29319935
